nom_estab,items,prediction
RESTAURANTE DE MARISCOS SIN NOMBRE,['CHILE'],['MOLIDA']
RESTAURANTE BONDIA,"['CHULETA', 'PORTERHOUSE', 'GOUDA', 'SALMON']",['COFFEE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['PEPPERONI', 'PANELA', 'CARNITAS/PIERNA', 'HAMBURGUESA', 'VEAL']",['CORTADILLO']
RESTAURANTE ARIECCHINO,"['MOLIDA', 'CHAMPIÑONES', 'DIEZMILLO', 'BISTEC', 'PULPO']","['CHILE', 'BACON']"
CHE PEBETA RESTAURANTE ARGENTINO,"['CHILE', 'MIEL', 'MOLLEJA']",['MOLIDA']
EL MAGO RESTAURANTE Y BANQUETES,"['SALMON', 'MERMELADA', 'DULCE', 'MOLLEJA', 'CAFE']",['COFFEE']
LA RONDA RESTAURANTE,"['SALSA', 'ATUN', 'PECHUGA', 'BACON', 'PIMIENTA', 'PIZZA']","['DIEZMILLO', 'LENGUA']"
LA RONDA RESTAURANTE,"['ACEITUNA', 'CHILE', 'COFFEE', 'SALCHICHA', 'ACEITE']","['MOLIDA', 'SALMON']"
RESTAURANTE LOS RODRIGUEZ,"['FLAN', 'AJO', 'CORTADILLO']",['PANELA']
RESTAURANTE FLOR DE TOKIO,['ARRACHERA'],['LECHE']
RESTAURANTE ARIECCHINO,"['JUGO', 'SALSA']",['LENGUA']
ESPAÑOLA RESTAURANTE,"['COWBOY', 'ARRACHERA', 'ELOTE']",['LECHE']
RESTAURANTE EL GITANO,"['MENUDO', 'ARRACHERA', 'MAYONESA', 'SHOULDER']",['LECHE']
RESTAURANTE LOS RODRIGUEZ,"['CARNITAS/PIERNA', 'TOMATE', 'BACON', 'FLAN', 'HUESO', 'PASTEL']",['DIEZMILLO']
ESPAÑOLA RESTAURANTE,"['HUESO', 'SALAMI', 'COCOA', 'T-BONE', 'TOCINO', 'SHOULDER']",['FLAUTAS']
RESTAURANTE LA AZULITA,"['PAPRIKA', 'FLAUTAS', 'COSTILLA', 'HUESO', 'MENUDO', 'CARNITAS/PIERNA', 'PEPPERONI']",['TOCINO']
RESTAURANTE BON DIA,"['CHAMPIÑONES', 'CATSUP', 'CHORIZO', 'MOLIDA', 'PANELA']","['CHILE', 'CORTADILLO']"
RESTAURANTE FAMILIAR LAS PALMAS,"['PAPA', 'PHILADELPHIA', 'TOCINO', 'TOMATE', 'PIZZA', 'JUGO', 'COFFEE']","['SALMON', 'FLAUTAS']"
HOTEL OASIS,"['MANCHEGO', 'DULCE', 'MOLIDA', 'SALCHICHA', 'CARNE']",['CHILE']
RESTAURANTE EL BUEN PALADAR,"['ELOTE', 'FLAUTAS', 'GALLETA', 'PAVO', 'PASTA', 'COSTILLA']",['TOCINO']
RESTAURANTE BONDIA,"['PHILADELPHIA', 'SALMON', 'MANCHEGO', 'YOGHURT', 'MENUDO', 'TOMATE']",['COFFEE']
RESTAURANTE BONDIA,"['FLAN', 'BACON', 'JAMON', 'PIERNA', 'BISTEC', 'CAMARON', 'SALCHICHA']",['DIEZMILLO']
MINIRESTAURANTE EL CHINO,"['SALMON', 'VEAL', 'NUGGET', 'HUEVO']",['COFFEE']
HOTEL REGIS,"['CHEESECAKE', 'AJO', 'SALMON', 'MENUDO', 'CARNE']",['COFFEE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['ADOBADA', 'MOLIDA', 'CHULETA', 'PASTA', 'MARGARINA', 'DULCE']",['CHILE']
EL MAGO RESTAURANTE Y BANQUETES,"['MACHACA', 'PAPA', 'CORTADILLO', 'LENGUA']","['SALSA', 'PANELA']"
RESTAURANTE IDOLOS DEL RIN,"['MOSTAZA', 'MARGARINA', 'SURIMI', 'COFFEE', 'SHOULDER', 'PIZZA', 'MEDALLON']",['SALMON']
HOTEL PALACIO,"['YOGHURT', 'MAYONESA', 'MACHACA', 'COSTILLA', 'CORTADILLO', 'SALMON']","['PANELA', 'COFFEE']"
HOTEL CAMINO REAL,"['MOLIDA', 'LENGUA', 'ENDULZANTE', 'PANELA', 'SHOULDER', 'POLLO', 'HAMBURGUESA']","['SALSA', 'CHILE', 'CORTADILLO']"
HOTEL OASIS,"['GALLETA', 'CARNITAS/PIERNA', 'ARRACHERA', 'TOMAHAWK', 'AJO', 'BRISKET']",['LECHE']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['FILETE', 'BACON', 'COSTILLA', 'VEAL', 'BISTEC', 'SALAMI']",['DIEZMILLO']
HOTEL REGIS,"['JUGO', 'CHEESECAKE', 'GALLETA', 'MOSTAZA', 'BACON', 'SALAMI', 'FLAUTAS']","['TOCINO', 'DIEZMILLO']"
RESTAURANTE FLOR DE TOKIO,"['CACHETE', 'JUGO', 'ARRACHERA', 'MOLLEJA', 'CHULETA']",['LECHE']
HOTEL PALACIO,"['CAMARON', 'TOMAHAWK', 'SALMON']",['COFFEE']
RESTAURANTE ARIECCHINO,"['VEAL', 'PASTA', 'MIEL', 'LENGUA', 'PORTERHOUSE', 'ACEITE', 'CARNITAS/PIERNA']",['SALSA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['DULCE', 'SALSA', 'AJO', 'CHAMPIÑONES']",['LENGUA']
CHE PEBETA RESTAURANTE ARGENTINO,"['MORTADELA', 'ARRACHERA', 'PAPA', 'SALSA', 'CAFE']","['LENGUA', 'LECHE']"
RESTAURANTE FAMILIAR LAS PALMAS,"['FLAUTAS', 'YEMA', 'PURE', 'VEAL', 'PANELA', 'CORTADILLO']",['TOCINO']
ESPAÑOLA RESTAURANTE,"['BACON', 'SALMON', 'FLAN', 'COSTILLA', 'PURE']","['DIEZMILLO', 'COFFEE']"
LA TORRADA RESTAURANTE,"['BISTEC', 'MOLIDA', 'T-BONE', 'CHICHARRON', 'TOCINO', 'PASTEL', 'PULPA']","['CHILE', 'FLAUTAS']"
RESTAURANTE IDOLOS DEL RIN,"['AJO', 'YEMA', 'SALAMI', 'PANELA', 'VEAL', 'COCOA', 'SURIMI']",['CORTADILLO']
RESTAURANTE ARIECCHINO,"['DESHEBRADA', 'CORTADILLO', 'ALITA', 'ELOTE', 'COFFEE', 'MARGARINA']","['PANELA', 'SALMON']"
HOTEL REGIS,"['CORTADILLO', 'ATUN', 'SHOULDER', 'CREMA', 'JUGO', 'CHULETA']",['PANELA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MENUDO', 'BACON', 'FAJITA', 'SALAMI', 'FLAN']",['DIEZMILLO']
RESTAURANTE ARIECCHINO,"['FLAN', 'MENUDO', 'MARGARINA', 'JALAPENOS', 'MOLIDA', 'PASTA', 'ADEREZO']",['CHILE']
HOTEL OASIS,"['DIEZMILLO', 'CHILE', 'FILETE']","['MOLIDA', 'BACON']"
RESTAURANTE BERNAL,"['CAMARON', 'DIEZMILLO', 'MEDALLON', 'ARRACHERA']","['BACON', 'LECHE']"
RESTAURANTE BERNAL,"['ROAST', 'COFFEE', 'CAMARON', 'PIERNA', 'YOGHURT', 'MOLIDA']","['CHILE', 'SALMON']"
RESTAURANTE DE MARISCOS EL ROJO,"['DIEZMILLO', 'PASTA', 'JALAPENOS', 'MENUDO', 'FLAUTAS', 'TOMAHAWK']","['TOCINO', 'BACON']"
RESTAURANTE CHAYITO,"['HAMBURGUESA', 'MANCHEGO', 'ROAST', 'CAFE', 'DIEZMILLO', 'LECHE']","['ARRACHERA', 'BACON']"
HOTEL OASIS,"['MOSTAZA', 'ACEITUNA', 'ENDULZANTE', 'MOLIDA', 'MENUDO']",['CHILE']
RESTAURANTE FAMILIAR LAS PALMAS,"['PASTA', 'ARRACHERA', 'CHULETA', 'MANCHEGO', 'SALCHICHA']",['LECHE']
RESTAURANTE BERNAL,"['CATSUP', 'PHILADELPHIA', 'ARRACHERA', 'MERMELADA']",['LECHE']
RESTAURANTE LA POSADA,"['DIEZMILLO', 'HUESO', 'ACEITUNA', 'PIERNA']",['BACON']
LA TORRADA RESTAURANTE,"['JUGO', 'MENUDO', 'SALMON', 'ELOTE', 'ACEITE', 'FAJITA', 'YOGHURT']",['COFFEE']
CALLE 7 RESTAURANTE,"['NUGGET', 'PHILADELPHIA', 'TOCINO', 'SHOULDER', 'BONELESS', 'LECHE', 'CACHETE']","['ARRACHERA', 'FLAUTAS']"
LA TORRADA RESTAURANTE,"['BISTEC', 'ADOBADA', 'ARRACHERA', 'ROAST', 'GALLETA', 'PULPA']",['LECHE']
EL MAGO RESTAURANTE Y BANQUETES,"['JUGO', 'FLAUTAS', 'FILETE', 'PIZZA', 'MORTADELA', 'CARNITAS/PIERNA']",['TOCINO']
RESTAURANTE ARIECCHINO,"['HUEVO', 'CHILE', 'JUGO', 'CARNE', 'COCOA']",['MOLIDA']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MANCHEGO', 'DIEZMILLO', 'ATUN', 'COWBOY', 'ARRACHERA', 'JUGO', 'TOMATE']","['BACON', 'LECHE']"
RESTAURANTE EL BUEN PALADAR,"['SAZONADOR', 'MERMELADA', 'CARNE', 'CHILE', 'PECHUGA', 'PAPA', 'ESPALDILLA']",['MOLIDA']
RESTAURANTE CHAYITO,"['RIBEYE', 'SHOULDER', 'PASTEL', 'CHILE', 'FLAUTAS', 'SALSA', 'ALITA']","['TOCINO', 'MOLIDA', 'LENGUA']"
RESTAURANTE FLOR DE TOKIO,"['LECHE', 'CHEESECAKE', 'MANTEQUILLA', 'CREMA', 'HUEVO']",['ARRACHERA']
VITANTI RESTAURANTE,"['PULPA', 'PANELA', 'SALCHICHA', 'MIEL', 'CHICHARRON']",['CORTADILLO']
RESTAURANTE EL BUEN PALADAR,"['MANTEQUILLA', 'CAFE', 'MOSTAZA', 'T-BONE', 'FAJITA', 'PANELA', 'SALAMI']",['CORTADILLO']
RESTAURANTE Y TAQUERIA MI GENERAL,"['TOCINO', 'ATUN', 'CARNITAS/PIERNA', 'ESPALDILLA']",['FLAUTAS']
RESTAURANTE BONDIA,"['PANELA', 'PAVO', 'MILANESA', 'ACEITE', 'LOMO']",['CORTADILLO']
HOTEL PALACIO,"['PIERNA', 'JAMON', 'DESHEBRADA', 'TOMATE', 'CUBOS', 'MACHACA', 'ARRACHERA']",['LECHE']
RESTAURANTE BON DIA,"['PIZZA', 'YOGHURT', 'LENGUA', 'MOSTAZA']",['SALSA']
RESTAURANTE LOS RODRIGUEZ,"['MEDALLON', 'CORTADILLO', 'MIEL', 'FAJITA', 'FLAUTAS', 'PAPA']","['TOCINO', 'PANELA']"
RESTAURANTE EL BUEY,"['MOLIDA', 'HUEVO', 'CARNITAS/PIERNA', 'COSTILLA']",['CHILE']
RESTAURANTE BUCHAKAS,"['WHIP', 'PASTA', 'PIMIENTA', 'ESPALDILLA', 'PORTERHOUSE', 'LECHE']",['ARRACHERA']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MAYONESA', 'CATSUP', 'POLLO', 'PEPPERONI', 'CORTADILLO', 'COWBOY']",['PANELA']
LA RONDA RESTAURANTE,"['CACHETE', 'DESHEBRADA', 'CAMARON', 'PHILADELPHIA', 'JALAPENOS', 'FLAUTAS']",['TOCINO']
RESTAURANTE BON DIA,"['ACEITE', 'DIEZMILLO', 'PASTEL']",['BACON']
LA TORRADA RESTAURANTE,"['CHAMPIÑONES', 'ACEITUNA', 'TOMAHAWK', 'PEPPERONI', 'LENGUA', 'PULPO', 'PAPA']",['SALSA']
RESTAURANTE JOSEPHINOS,"['CHAMPIÑONES', 'ATUN', 'PANELA', 'BRISKET']",['CORTADILLO']
HOTEL CAMINO REAL,"['PURE', 'WHIP', 'LECHE', 'MANCHEGO', 'PECHUGA']",['ARRACHERA']
HOTEL MISION,"['LOMO', 'JUGO', 'PORTERHOUSE', 'DIEZMILLO', 'PASTA', 'ATUN', 'CREMA']",['BACON']
RESTAURANTE BON DIA,"['SALCHICHA', 'ROAST', 'ACEITE', 'CHILE', 'MIEL', 'ATUN']",['MOLIDA']
RESTAURANTE CHAYITO,"['JAMON', 'CUBOS', 'CORTADILLO']",['PANELA']
HOTEL HOLIDAY IN EXPRESS,"['PIMIENTA', 'JAMON', 'LENGUA', 'ACEITUNA', 'ROAST', 'PAPA', 'MENUDO']",['SALSA']
RESTAURANTE LA POSADA,"['SHOULDER', 'ELOTE', 'TOCINO', 'JUGO', 'WHIP']",['FLAUTAS']
LA RONDA RESTAURANTE,"['SALAMI', 'HAMBURGUESA', 'HUEVO', 'PANELA']",['CORTADILLO']
RESTAURANTE DE MARISCOS SIN NOMBRE,"['SALMON', 'LECHE', 'PURE', 'CATSUP', 'BONELESS', 'CORTADILLO']","['PANELA', 'ARRACHERA', 'COFFEE']"
RESTAURANTE EL BUEY,"['PEPPERONI', 'LECHE', 'FILETE', 'BISTEC', 'YEMA', 'CACHETE']",['ARRACHERA']
MINIRESTAURANTE EL CHINO,"['RIBEYE', 'LENGUA', 'LOMO', 'ACEITE']",['SALSA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['WHIP', 'MORTADELA', 'YOGHURT', 'PASTEL', 'SALSA', 'CHILE', 'MOLLEJA']","['MOLIDA', 'LENGUA']"
CHE PEBETA RESTAURANTE ARGENTINO,"['JALAPENOS', 'PEPPERONI', 'LENGUA', 'CHICHARRON', 'SALCHICHA']",['SALSA']
RESTAURANTE BONDIA,"['CAFE', 'JAMON', 'MOLLEJA', 'ESPALDILLA', 'LECHE']",['ARRACHERA']
RESTAURANTE BON DIA,"['FLAUTAS', 'FLAN', 'CARNE', 'MOLIDA', 'ENDULZANTE', 'PANELA']","['TOCINO', 'CHILE', 'CORTADILLO']"
RESTAURANTE: I LIKE PIZZA,"['MORTADELA', 'PASTA', 'SALSA', 'JUGO', 'FAJITA']",['LENGUA']
HOTEL CAMINO REAL,"['FLAUTAS', 'DULCE', 'CATSUP', 'JUGO', 'FLAN', 'YOGHURT']",['TOCINO']
NORTEÑO RESTAURANTE,"['PANELA', 'SURIMI', 'PULPA', 'COFFEE', 'PAPRIKA']","['SALMON', 'CORTADILLO']"
RESTAURANTE FLOR DE TOKIO,"['ARRACHERA', 'RIBEYE', 'ADOBADA', 'MILANESA', 'BACON', 'MEDALLON']","['DIEZMILLO', 'LECHE']"
RESTAURANTE JOSEPHINOS,"['PIMIENTA', 'WHIP', 'SURIMI', 'CHILE', 'VEAL', 'PHILADELPHIA']",['MOLIDA']
HOTEL PALACIO,"['DIEZMILLO', 'CHAMPIÑONES', 'PIZZA', 'DESHEBRADA', 'PHILADELPHIA', 'JALAPENOS', 'PAPRIKA']",['BACON']
RESTAURANTE CHAYITO,"['FLAUTAS', 'PEPPERONI']",['TOCINO']
MINIRESTAURANTE EL CHINO,"['CHEESECAKE', 'CHILE', 'PORTERHOUSE', 'SALCHICHA', 'ACEITE']",['MOLIDA']
RESTAURANTE EL BUEN PALADAR,"['CHULETA', 'PANELA', 'FILETE', 'CHEESECAKE', 'TOMAHAWK']",['CORTADILLO']
RESTAURANTE  LA  FUNDACION,"['MACHACA', 'SALMON', 'CHORIZO', 'CHEESECAKE', 'MIEL', 'CARNITAS/PIERNA']",['COFFEE']
RESTAURANTE BON DIA,"['ESPALDILLA', 'CREMA', 'CACHETE', 'BRISKET', 'SALMON', 'LECHE']","['ARRACHERA', 'COFFEE']"
LA TORRADA RESTAURANTE,"['PECHUGA', 'ARRACHERA', 'ADOBADA', 'POLLO', 'CREMA', 'JAMON', 'COFFEE']","['SALMON', 'LECHE']"
LA RONDA RESTAURANTE,"['CHEESECAKE', 'ADEREZO', 'SALMON', 'PAPRIKA']",['COFFEE']
RESTAURANTE CHAYITO,"['JALAPENOS', 'COFFEE', 'HAMBURGUESA', 'SALSA', 'TOCINO', 'MERMELADA']","['LENGUA', 'SALMON', 'FLAUTAS']"
RESTAURANTE MI KASA,['CORTADILLO'],['PANELA']
RESTAURANTE FAMILIAR LAS PALMAS,"['TOCINO', 'T-BONE', 'PHILADELPHIA', 'ENDULZANTE', 'BONELESS', 'RIBEYE', 'MANTEQUILLA']",['FLAUTAS']
RESTAURANTE LAS ALITAS SUC NUEVO SUR,"['JUGO', 'CHEESECAKE', 'FLAUTAS', 'PAPA']",['TOCINO']
EL MAGO RESTAURANTE Y BANQUETES,"['CORTADILLO', 'DESHEBRADA', 'PORTERHOUSE', 'GALLETA', 'CHILE', 'CHORIZO']","['PANELA', 'MOLIDA']"
RESTAURANTE FLOR DE TOKIO,"['CARNITAS/PIERNA', 'JAMON', 'ARRACHERA', 'PURE', 'ROAST']",['LECHE']
RESTAURANTE VERDENIA,"['COSTILLA', 'MANCHEGO', 'WHIP', 'LOMO', 'ACEITUNA', 'LECHE', 'DIEZMILLO']","['ARRACHERA', 'BACON']"
RESTAURANTE VERDENIA,"['PHILADELPHIA', 'CARNE', 'PANELA', 'SURIMI']",['CORTADILLO']
EL MAGO RESTAURANTE Y BANQUETES,"['MEDALLON', 'FLAN', 'SALSA', 'RIBEYE', 'YOGHURT', 'MIEL', 'TOMATE']",['LENGUA']
RESTAURANTE CHAYITO,"['MORTADELA', 'PULPA', 'CORTADILLO', 'CHORIZO', 'JAMON', 'COWBOY', 'FLAN']",['PANELA']
RESTAURANTE LA POSADA,"['PIERNA', 'MACHACA', 'CORTADILLO', 'BISTEC', 'LECHE', 'PANELA']",['ARRACHERA']
RESTAURANTE BONDIA,"['QUESO', 'CORTADILLO', 'MARGARINA']",['PANELA']
EL MAGO RESTAURANTE Y BANQUETES,"['ROAST', 'MOSTAZA', 'SALMON', 'PHILADELPHIA', 'SALCHICHA']",['COFFEE']
CHE PEBETA RESTAURANTE ARGENTINO,"['MACHACA', 'FILETE', 'ROAST', 'JALAPENOS', 'DIEZMILLO', 'MOLIDA']","['CHILE', 'BACON']"
HOTEL OASIS,"['JALAPENOS', 'BONELESS', 'ARRACHERA', 'PANELA', 'ESPALDILLA', 'COCOA']","['CORTADILLO', 'LECHE']"
RESTAURANTE: I LIKE PIZZA,"['LECHE', 'COWBOY', 'PHILADELPHIA', 'TOMATE', 'CAFE', 'PAPA']",['ARRACHERA']
RESTAURANTE VERDENIA,"['PHILADELPHIA', 'NUGGET', 'VEAL', 'PULPA', 'SALSA', 'LECHE']","['ARRACHERA', 'LENGUA']"
HOTEL OASIS,"['ADOBADA', 'BACON', 'PORTERHOUSE', 'VEAL', 'JALAPENOS', 'PASTEL', 'ELOTE']",['DIEZMILLO']
RESTAURANTE DE MARISCOS SIN NOMBRE,"['MIEL', 'MARGARINA', 'FLAUTAS', 'MEDALLON', 'CARNITAS/PIERNA', 'GOUDA']",['TOCINO']
RESTAURANTE: I LIKE PIZZA,"['TOCINO', 'MEDALLON', 'T-BONE', 'SAZONADOR', 'PEPPERONI', 'FLAN']",['FLAUTAS']
LA RONDA RESTAURANTE,"['FLAUTAS', 'ALITA', 'BISTEC', 'ATUN', 'ARRACHERA', 'YEMA']","['TOCINO', 'LECHE']"
RESTAURANTE EL GITANO,"['ENDULZANTE', 'PANELA', 'MILANESA', 'WHIP', 'BONELESS', 'PHILADELPHIA', 'HUEVO']",['CORTADILLO']
EL MAGO RESTAURANTE Y BANQUETES,"['PEPPERONI', 'CHEESECAKE', 'SURIMI', 'COFFEE', 'MERMELADA']",['SALMON']
RESTAURANTE CHAYITO,"['MACHACA', 'JUGO', 'CREMA', 'BACON', 'CARNE', 'PORTERHOUSE', 'TOMATE']",['DIEZMILLO']
RESTAURANTE BONDIA,"['ESPALDILLA', 'ARRACHERA', 'MAYONESA', 'CHEESECAKE', 'ROAST']",['LECHE']
RESTAURANTE BONDIA,"['FLAUTAS', 'COWBOY', 'JALAPENOS', 'CORTADILLO', 'DULCE']","['TOCINO', 'PANELA']"
RESTAURANTE EL BUEY,"['JALAPENOS', 'SALSA', 'BACON', 'PIMIENTA']","['DIEZMILLO', 'LENGUA']"
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MENUDO', 'SHOULDER', 'MIEL', 'MAYONESA', 'CHILE', 'CARNITAS/PIERNA']",['MOLIDA']
RESTAURANTE FAMILIAR LAS PALMAS,"['BISTEC', 'CATSUP', 'LOMO', 'DULCE', 'CHILE', 'ENDULZANTE', 'NUGGET']",['MOLIDA']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['PAVO', 'FAJITA', 'MERMELADA', 'CHEESECAKE', 'CORTADILLO']",['PANELA']
RESTAURANTE LA POSADA,"['YOGHURT', 'CHILE', 'RIBEYE', 'PIZZA', 'GOUDA', 'ROAST']",['MOLIDA']
RESTAURANTE JOSEPHINOS,"['SALMON', 'BISTEC', 'DIEZMILLO', 'ADOBADA', 'HUEVO', 'SURIMI']","['BACON', 'COFFEE']"
RESTAURANTE BUCHAKAS,"['PAVO', 'MOLIDA', 'ADOBADA']",['CHILE']
RESTAURANTE MI KASA,"['JAMON', 'TOCINO', 'HUEVO', 'PULPO', 'MACHACA', 'WHIP', 'MAYONESA']",['FLAUTAS']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MANTEQUILLA', 'MARGARINA', 'PORTERHOUSE', 'WHIP', 'TOCINO']",['FLAUTAS']
RESTAURANTE ARIECCHINO,"['MANCHEGO', 'ARRACHERA', 'COCOA', 'ACEITE', 'DULCE']",['LECHE']
RESTAURANTE LOS RODRIGUEZ,"['HUEVO', 'NUGGET', 'MANTEQUILLA', 'ARRACHERA']",['LECHE']
RESTAURANTE ARIECCHINO,['BACON'],['DIEZMILLO']
RESTAURANTE BON DIA,"['MOLIDA', 'LECHE', 'ATUN', 'CHILE', 'VEAL', 'GOUDA']",['ARRACHERA']
HOTEL HOLIDAY IN EXPRESS,"['CAFE', 'CORTADILLO', 'LENGUA', 'GOUDA', 'ALITA', 'FILETE']","['SALSA', 'PANELA']"
LA RONDA RESTAURANTE,"['CORTADILLO', 'BISTEC', 'BRISKET', 'DIEZMILLO', 'POLLO', 'SALMON']","['PANELA', 'BACON', 'COFFEE']"
RESTAURANTE CHAYITO,"['CAMARON', 'MOLLEJA', 'NUGGET', 'CARNITAS/PIERNA', 'SALSA', 'JALAPENOS']",['LENGUA']
LA RONDA RESTAURANTE,"['CHULETA', 'SALSA', 'T-BONE', 'NUGGET']",['LENGUA']
HOTEL PALACIO,"['CATSUP', 'ADEREZO', 'CACHETE', 'CREMA', 'MORTADELA', 'BACON']",['DIEZMILLO']
RESTAURANTE DE MARISCOS LOS REYES,"['LENGUA', 'QUESO', 'CORTADILLO', 'PIERNA', 'PIMIENTA', 'CHICHARRON', 'MENUDO']","['SALSA', 'PANELA']"
HOTEL HOLIDAY IN EXPRESS,"['HAMBURGUESA', 'MAYONESA', 'FAJITA', 'FILETE', 'COWBOY', 'COFFEE']",['SALMON']
CHE PEBETA RESTAURANTE ARGENTINO,"['ROAST', 'LENGUA', 'LOMO', 'RIBEYE', 'PAVO']",['SALSA']
ESPAÑOLA RESTAURANTE,"['TOMAHAWK', 'SALSA', 'ACEITUNA', 'ROAST', 'CARNE']",['LENGUA']
RESTAURANTE TIO LALO,"['MERMELADA', 'CARNITAS/PIERNA', 'POLLO', 'ARRACHERA', 'ATUN']",['LECHE']
RESTAURANTE JOSEPHINOS,"['CHULETA', 'CORTADILLO', 'ARRACHERA', 'TOMAHAWK', 'ADEREZO']","['PANELA', 'LECHE']"
RESTAURANTE FLOR DE TOKIO,"['CHEESECAKE', 'SALMON', 'COCOA', 'ALITA']",['COFFEE']
RESTAURANTE: I LIKE PIZZA,"['CUBOS', 'MERMELADA', 'RIBEYE', 'PANELA', 'ADEREZO', 'SURIMI']",['CORTADILLO']
RESTAURANTE Y TAQUERIA MI GENERAL,"['PANELA', 'COFFEE', 'PEPPERONI', 'NUGGET', 'SALCHICHA', 'ARRACHERA', 'PULPA']","['SALMON', 'CORTADILLO', 'LECHE']"
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['SURIMI', 'RIBEYE', 'CHILE', 'BONELESS']",['MOLIDA']
RESTAURANTE BOATO,"['CHAMPIÑONES', 'MAYONESA', 'MOLIDA', 'WHIP', 'PECHUGA', 'PURE', 'CARNITAS/PIERNA']",['CHILE']
HOTEL EL REGIO,"['CHORIZO', 'CREMA', 'MERMELADA', 'ARRACHERA']",['LECHE']
RESTAURANTE CHAYITO,"['PANELA', 'FILETE', 'SURIMI', 'MANCHEGO', 'GOUDA', 'MANTEQUILLA', 'MILANESA']",['CORTADILLO']
LA TORRADA RESTAURANTE,"['ADOBADA', 'LECHE', 'MENUDO', 'ALITA', 'PULPA', 'PASTA', 'COSTILLA']",['ARRACHERA']
RESTAURANTE JOSEPHINOS,"['RIBEYE', 'SALSA', 'COSTILLA', 'ESPALDILLA', 'FLAUTAS', 'YOGHURT']","['TOCINO', 'LENGUA']"
NORTEÑO RESTAURANTE,"['TOMAHAWK', 'PURE', 'GALLETA', 'CHILE', 'PECHUGA']",['MOLIDA']
RESTAURANTE TIO LALO,"['BONELESS', 'PASTEL', 'PANELA', 'DIEZMILLO', 'MARGARINA', 'COSTILLA', 'QUESO']","['BACON', 'CORTADILLO']"
HOTEL MISION,"['PHILADELPHIA', 'ROAST', 'CHULETA', 'PULPO', 'COFFEE', 'SURIMI']",['SALMON']
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,"['MORTADELA', 'SALMON', 'CHORIZO', 'MERMELADA', 'SURIMI', 'MACHACA', 'MARGARINA']",['COFFEE']
MINIRESTAURANTE EL CHINO,"['PULPO', 'JUGO', 'PANELA', 'PIZZA', 'PEPPERONI']",['CORTADILLO']
RESTAURANTE FINOS,"['TOCINO', 'CREMA', 'CHULETA', 'ARRACHERA', 'PULPA', 'CUBOS', 'QUESO']","['FLAUTAS', 'LECHE']"
HOTEL REGIS,"['CARNE', 'MOLLEJA', 'PASTA', 'PURE', 'MOLIDA', 'ARRACHERA', 'PIERNA']","['CHILE', 'LECHE']"
RESTAURANTE IDOLOS DEL RIN,"['COWBOY', 'CORTADILLO', 'SALCHICHA', 'TOMATE', 'ADOBADA', 'ARRACHERA']","['PANELA', 'LECHE']"
RESTAURANTE  LA  FUNDACION,"['ARRACHERA', 'PAPA', 'CHEESECAKE', 'COFFEE', 'BRISKET']","['SALMON', 'LECHE']"
RESTAURANTE JOSEPHINOS,"['PURE', 'MOLLEJA', 'CHAMPIÑONES', 'SALMON', 'CORTADILLO', 'MOLIDA', 'DULCE']","['CHILE', 'PANELA', 'COFFEE']"
EL MAGO RESTAURANTE Y BANQUETES,"['PEPPERONI', 'ACEITUNA', 'CORTADILLO', 'MERMELADA', 'CHICHARRON']",['PANELA']
RESTAURANTE FAMILIAR LAS PALMAS,"['HAMBURGUESA', 'T-BONE', 'ROAST', 'MERMELADA', 'MIEL', 'LECHE']",['ARRACHERA']
RESTAURANTE BONDIA,"['BRISKET', 'PASTEL', 'PANELA', 'ACEITUNA']",['CORTADILLO']
HUI XIN RESTAURANTE DE COMIDA CHINA,"['MERMELADA', 'MOLLEJA', 'WHIP', 'BISTEC', 'ARRACHERA']",['LECHE']
RESTAURANTE FINOS,"['HUESO', 'ADOBADA', 'LECHE', 'MOLLEJA', 'POLLO', 'T-BONE']",['ARRACHERA']
RESTAURANTE BUCHAKAS,"['ACEITUNA', 'PIZZA', 'CREMA', 'YEMA', 'LECHE', 'JALAPENOS']",['ARRACHERA']
RESTAURANTE BERNAL,"['CAFE', 'BACON', 'MOSTAZA', 'CARNE', 'CHULETA', 'MOLLEJA', 'SALAMI']",['DIEZMILLO']
